file_name,image_id,height,width,bbox0,bbox1,bbox2,bbox3
COCO_train2014_000000286720.jpg,286720,640,480,176.17,181.68,199.57,181.67
COCO_train2014_000000417802.jpg,417802,480,640,238.44,64.02,220.83,325.53
COCO_train2014_000000532491.jpg,532491,427,640,150.27,38.48,338.12,383.02
COCO_train2014_000000196619.jpg,196619,500,389,1.08,232.26,305.37,260.21
COCO_train2014_000000303116.jpg,303116,640,379,166.54,335.83,203.7,286.28
COCO_train2014_000000565258.jpg,565258,382,640,139.3,94.94,500.7,217.92
COCO_train2014_000000196623.jpg,196623,480,640,198.37,49.44,441.63,425.52
COCO_train2014_000000458762.jpg,458762,427,640,7.7,5.6,405.3,420.89
COCO_train2014_000000057362.jpg,57362,333,500,375.34,16.87,121.29,195.92
COCO_train2014_000000294943.jpg,294943,375,500,122.58,191.69,143.55,165.32
COCO_train2014_000000376868.jpg,376868,333,500,264.09,91.15,74.76,104.9
COCO_train2014_000000434214.jpg,434214,543,640,316.94,240.04,196.93,130.51
COCO_train2014_000000188459.jpg,188459,480,640,195.52,22.69,444.48,432.41
COCO_train2014_000000434222.jpg,434222,427,640,0.0,224.56,275.05,117.33
COCO_train2014_000000032816.jpg,32816,480,640,271.03,216.72,366.21,255.52
COCO_train2014_000000409652.jpg,409652,640,639,0.0,14.75,361.48,606.15
COCO_train2014_000000524340.jpg,524340,640,456,170.67,248.7,243.61,331.7
COCO_train2014_000000442422.jpg,442422,375,500,125.81,101.61,150.8,161.29
COCO_train2014_000000155707.jpg,155707,453,400,25.33,28.25,296.15,419.88
COCO_train2014_000000180287.jpg,180287,423,640,1.9,0.0,638.1,394.48
COCO_train2014_000000172096.jpg,172096,640,480,38.23,130.08,441.77,500.36
COCO_train2014_000000335940.jpg,335940,375,500,0.0,80.41,468.75,273.98
COCO_train2014_000000540750.jpg,540750,480,640,159.31,316.72,100.73,67.84
COCO_train2014_000000458832.jpg,458832,286,640,301.99,12.3,193.13,206.04
COCO_train2014_000000163928.jpg,163928,375,500,109.21,100.42,323.69,126.09
COCO_train2014_000000442457.jpg,442457,427,640,10.58,2.4,628.0,369.3
COCO_train2014_000000155749.jpg,155749,640,480,33.03,0.0,342.71,628.57
COCO_train2014_000000295017.jpg,295017,640,480,34.41,250.27,342.11,263.82
COCO_train2014_000000409707.jpg,409707,480,640,189.94,71.23,216.77,174.45
COCO_train2014_000000335982.jpg,335982,375,500,161.29,69.91,159.68,300.0
COCO_train2014_000000319601.jpg,319601,358,640,46.96,63.13,566.64,239.44
COCO_train2014_000000344181.jpg,344181,480,640,129.03,120.77,425.29,323.1
COCO_train2014_000000229494.jpg,229494,426,640,31.32,254.68,262.05,171.32
COCO_train2014_000000319611.jpg,319611,391,500,33.6,81.92,130.93,74.33
COCO_train2014_000000172163.jpg,172163,640,480,61.26,234.34,265.13,274.78
